	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
1	0.00	2228.00	2268.00	2416.00	2252.00	2256.00	238.00	215.00	2368.00	2372.00	1056.00	1035.00	227.00	770.00	2248.00	2272.00	345.00	328.00	229.00	232.00	1060.00	824.00	797.00	1031.00	2260.00	2268.00	333.00	359.00	342.00	360.00	278.00	2414.00	2420.00	779.00	786.00	344.00	357.00	201.00	205.00	219.00	220.00	367.00	357.00	2276.00	2288.00	1027.00	1066.00	800.00	351.00	365.00	814.00	332.00	342.00	770.00	2268.00	2252.00	333.00	329.00	245.00	234.00	1041.00	1058.00	2364.00	2356.00	2296.00	2272.00	199.00	229.00	201.00	2264.00	2272.00	2416.00	220.00	0.00
2	2228.00	0.00	1099.00	1240.00	1097.00	855.00	2224.00	2252.00	1199.00	1219.00	1366.00	1378.00	2228.00	1539.00	932.00	1107.00	2116.00	2124.00	2236.00	2224.00	1353.00	1544.00	1539.00	1382.00	1082.00	844.00	2124.00	2092.00	2088.00	2080.00	2176.00	1234.00	1202.00	1552.00	1534.00	2080.00	2084.00	2224.00	2256.00	2252.00	2236.00	2076.00	2080.00	686.00	1098.00	1348.00	1368.00	1541.00	2084.00	2076.00	1541.00	2124.00	2108.00	1543.00	1158.00	999.00	2112.00	2116.00	2220.00	2228.00	1367.00	1327.00	1228.00	1186.00	869.00	1119.00	2236.00	2240.00	2240.00	1104.00	750.00	1271.00	2256.00	0.00
3	2268.00	1099.00	0.00	1203.00	836.00	1120.00	2264.00	2292.00	1221.00	1207.00	1397.00	1404.00	2268.00	1584.00	1109.00	891.00	2156.00	2164.00	2276.00	2264.00	1392.00	1560.00	1577.00	1411.00	753.00	1087.00	2164.00	2132.00	2128.00	2120.00	2216.00	1246.00	1270.00	1580.00	1584.00	2120.00	2124.00	2264.00	2296.00	2292.00	2276.00	2116.00	2120.00	1093.00	657.00	1396.00	1390.00	1578.00	2124.00	2116.00	1579.00	2164.00	2148.00	1587.00	992.00	1116.00	2152.00	2156.00	2260.00	2268.00	1414.00	1358.00	1209.00	1140.00	1109.00	941.00	2276.00	2280.00	2280.00	730.00	1109.00	1186.00	2296.00	0.00
4	2416.00	1240.00	1203.00	0.00	1186.00	1252.00	2412.00	2440.00	931.00	860.00	1520.00	1523.00	2416.00	1745.00	1210.00	1168.00	2304.00	2312.00	2424.00	2412.00	1528.00	1690.00	1724.00	1524.00	1221.00	1200.00	2312.00	2280.00	2276.00	2268.00	2364.00	879.00	1043.00	1752.00	1740.00	2268.00	2272.00	2412.00	2444.00	2440.00	2424.00	2264.00	2268.00	1243.00	1173.00	1554.00	1503.00	1714.00	2272.00	2264.00	1706.00	2312.00	2296.00	1742.00	1243.00	1200.00	2300.00	2304.00	2408.00	2416.00	1528.00	1542.00	896.00	957.00	1260.00	1252.00	2424.00	2428.00	2428.00	1161.00	1244.00	1088.00	2444.00	0.00
5	2252.00	1097.00	836.00	1186.00	0.00	1116.00	2248.00	2276.00	1218.00	1199.00	1421.00	1388.00	2252.00	1565.00	1126.00	651.00	2140.00	2148.00	2260.00	2248.00	1387.00	1548.00	1557.00	1397.00	840.00	1108.00	2148.00	2116.00	2112.00	2104.00	2200.00	1254.00	1280.00	1561.00	1572.00	2104.00	2108.00	2248.00	2280.00	2276.00	2260.00	2100.00	2104.00	1121.00	849.00	1402.00	1373.00	1558.00	2108.00	2100.00	1562.00	2148.00	2132.00	1562.00	920.00	1151.00	2136.00	2140.00	2244.00	2252.00	1406.00	1357.00	1204.00	1141.00	1103.00	833.00	2260.00	2264.00	2264.00	861.00	1135.00	1172.00	2280.00	0.00
6	2256.00	855.00	1120.00	1252.00	1116.00	0.00	2252.00	2280.00	1183.00	1255.00	1386.00	1412.00	2256.00	1571.00	844.00	1126.00	2144.00	2152.00	2264.00	2252.00	1367.00	1558.00	1570.00	1418.00	1112.00	966.00	2152.00	2120.00	2116.00	2108.00	2204.00	1235.00	1215.00	1572.00	1569.00	2108.00	2112.00	2252.00	2284.00	2280.00	2264.00	2104.00	2108.00	887.00	1129.00	1381.00	1398.00	1568.00	2112.00	2104.00	1559.00	2152.00	2136.00	1576.00	1165.00	854.00	2140.00	2144.00	2248.00	2256.00	1404.00	1345.00	1230.00	1222.00	799.00	1137.00	2264.00	2268.00	2268.00	1144.00	904.00	1277.00	2284.00	0.00
7	238.00	2224.00	2264.00	2412.00	2248.00	2252.00	0.00	218.00	2364.00	2368.00	1058.00	1035.00	227.00	760.00	2244.00	2268.00	333.00	305.00	214.00	237.00	1057.00	830.00	801.00	1035.00	2256.00	2264.00	324.00	356.00	354.00	340.00	267.00	2410.00	2416.00	765.00	771.00	342.00	352.00	224.00	224.00	219.00	208.00	351.00	352.00	2272.00	2284.00	1032.00	1066.00	797.00	324.00	361.00	825.00	331.00	331.00	758.00	2264.00	2248.00	329.00	329.00	241.00	229.00	1034.00	1044.00	2360.00	2352.00	2292.00	2268.00	220.00	225.00	219.00	2260.00	2268.00	2412.00	210.00	0.00
8	215.00	2252.00	2292.00	2440.00	2276.00	2280.00	218.00	0.00	2392.00	2396.00	1074.00	1065.00	212.00	782.00	2272.00	2296.00	348.00	317.00	210.00	223.00	1071.00	861.00	829.00	1056.00	2284.00	2292.00	324.00	373.00	346.00	356.00	264.00	2438.00	2444.00	782.00	789.00	365.00	357.00	214.00	187.00	193.00	220.00	366.00	353.00	2300.00	2312.00	1054.00	1088.00	820.00	350.00	362.00	848.00	322.00	333.00	773.00	2292.00	2276.00	339.00	332.00	210.00	214.00	1055.00	1071.00	2388.00	2380.00	2320.00	2296.00	211.00	188.00	207.00	2288.00	2296.00	2440.00	195.00	0.00
9	2368.00	1199.00	1221.00	931.00	1218.00	1183.00	2364.00	2392.00	0.00	774.00	1462.00	1482.00	2368.00	1698.00	1148.00	1195.00	2256.00	2264.00	2376.00	2364.00	1463.00	1659.00	1674.00	1476.00	1209.00	1115.00	2264.00	2232.00	2228.00	2220.00	2316.00	880.00	1006.00	1706.00	1695.00	2220.00	2224.00	2364.00	2396.00	2392.00	2376.00	2216.00	2220.00	1174.00	1217.00	1492.00	1478.00	1675.00	2224.00	2216.00	1663.00	2264.00	2248.00	1700.00	1181.00	1125.00	2252.00	2256.00	2360.00	2368.00	1475.00	1493.00	758.00	939.00	1193.00	1190.00	2376.00	2380.00	2380.00	1208.00	1169.00	1213.00	2396.00	0.00
10	2372.00	1219.00	1207.00	860.00	1199.00	1255.00	2368.00	2396.00	774.00	0.00	1485.00	1506.00	2372.00	1709.00	1193.00	1162.00	2260.00	2268.00	2380.00	2368.00	1493.00	1665.00	1688.00	1500.00	1217.00	1168.00	2268.00	2236.00	2232.00	2224.00	2320.00	923.00	1055.00	1720.00	1710.00	2224.00	2228.00	2368.00	2400.00	2396.00	2380.00	2220.00	2224.00	1222.00	1196.00	1517.00	1485.00	1685.00	2228.00	2220.00	1669.00	2268.00	2252.00	1706.00	1218.00	1163.00	2256.00	2260.00	2364.00	2372.00	1497.00	1504.00	781.00	716.00	1237.00	1229.00	2380.00	2384.00	2384.00	1152.00	1212.00	1102.00	2400.00	0.00
